Rank,ID,Name,Position,Week,Team,Opp,Att,RushYds,RushYds/Att,RushTD,Targets,Rec,PassYds,PassTD,Fum,Lost,FantasyPoints
5,16815,Ameer Abdullah,RB,2,DET,MIN,6,9,2,0,1,1,9,0,0,0,1.80
6,16402,Andre Williams,RB,2,NYG,ATL,6,43,7,0,0,0,0,0,0,0,4.30
7,12285,Anthony Dixon,RB,2,BUF,NE,0,0,0,0,0,0,0,0,0,0,0.00
8,13418,Anthony Sherman,FB,2,KC,DEN,0,0,0,0,0,0,0,0,0,0,0.00
9,15191,Austin Johnson,FB,2,NO,TB,1,1,1,1,1,0,0,0,0,0,6.10
10,15207,Benjamin Cunningham,RB,2,LA,WAS,1,0,0,0,6,4,27,0,0,0,2.70
11,14687,Bernard Pierce,RB,2,JAX,MIA,3,4,1,0,0,0,0,0,0,0,0.40
12,12800,Bilal Powell,RB,2,NYJ,IND,12,38,3,0,5,4,16,0,1,0,5.40
13,16178,Bishop Sankey,RB,2,TEN,CLE,12,42,4,0,2,0,0,0,0,0,4.20
14,13852,Bobby Rainey,RB,2,TB,NO,0,0,0,0,1,1,8,0,0,0,0.80
15,16345,Branden Oliver,RB,2,SD,CIN,1,2,2,0,0,0,0,0,0,0,0.20
16,13741,Brandon Bolden,RB,2,NE,BUF,1,1,1,0,1,1,2,0,0,0,0.30
17,13446,Bruce Miller,FB,2,SF,PIT,0,0,0,0,2,1,7,0,0,0,0.70
18,16668,Carlos Hyde,RB,2,SF,PIT,13,43,3,0,4,4,18,0,0,0,6.10
19,11737,Cedric Peerman,RB,2,CIN,SD,0,0,0,0,0,0,0,0,0,0,0.00
20,16307,Charcandrick West,RB,2,KC,DEN,0,0,0,0,0,0,0,0,0,0,0.00
21,16609,Charles Sims,RB,2,TB,NO,8,38,5,0,3,3,14,0,0,0,5.20
22,12239,Chris Ivory,RB,2,NYJ,IND,14,57,4,0,2,2,3,0,0,0,6.00
23,6828,Chris Johnson,RB,2,ARI,CHI,20,72,4,0,1,0,0,0,0,0,7.20
24,13735,Chris Polk,RB,2,HOU,CAR,14,38,3,0,8,2,9,0,0,0,4.70
25,15102,Chris Thompson,RB,2,WAS,LA,0,0,0,0,1,1,10,0,0,0,1.00
26,15020,CJ Anderson,RB,2,DEN,KC,12,27,2,0,1,1,2,0,0,0,2.90
27,10949,CJ Spiller,RB,2,NO,TB,3,7,2,0,1,1,19,0,0,0,2.60
28,17197,Corey Grant,RB,2,JAX,MIA,1,1,1,0,0,0,0,0,0,0,0.10
29,16031,Damien Williams,RB,2,MIA,JAX,2,5,3,0,4,3,15,1,0,0,8.00
30,12317,Danny Woodhead,RB,2,SD,CIN,7,36,5,0,6,6,68,0,0,0,10.40
31,11969,Darrel Young,FB,2,WAS,LA,0,0,0,0,0,0,0,0,0,0,0.00
32,8066,Darren McFadden,RB,2,DAL,PHI,10,31,3,0,2,2,21,0,0,0,5.20
33,6198,Darren Sproles,RB,2,PHI,DAL,1,-4,-4,0,4,4,23,0,0,0,1.90
34,16847,David Johnson,RB,2,ARI,CHI,5,42,8,1,2,1,3,0,0,0,10.50
35,7580,DeAngelo Williams,RB,2,PIT,SF,20,77,4,3,5,4,15,0,0,0,27.20
36,13124,DeMarco Murray,RB,2,PHI,DAL,13,2,0,0,5,5,53,0,0,0,5.50
37,15018,Denard Robinson,RB,2,JAX,MIA,1,9,9,0,0,0,0,0,0,0,0.90
38,15631,Derrick Coleman,FB,2,SEA,GB,0,0,0,0,1,1,0,0,0,0,0.00
39,16524,Devonta Freeman,RB,2,ATL,NYG,12,25,2,1,8,4,34,0,0,0,11.90
40,11220,Dexter McCluster,RB,2,TEN,CLE,10,98,10,0,4,4,26,0,0,0,12.40
41,12708,Dion Lewis,RB,2,NE,BUF,7,40,6,1,9,6,98,0,1,1,17.80
42,14385,Doug Martin,RB,2,TB,NO,21,78,4,0,2,2,20,0,1,1,7.80
43,16144,Dri Archer,RB,2,PIT,SF,0,0,0,0,0,0,0,0,0,0,0.00
44,16838,Duke Johnson,RB,2,CLE,TEN,12,43,4,0,0,0,0,0,0,0,4.30
45,15138,Eddie Lacy,RB,2,GB,SEA,3,9,3,0,0,0,0,0,0,0,0.90
46,15616,Fozzy Whittaker,RB,2,CAR,HOU,1,3,3,0,0,0,0,0,0,0,0.30
47,5820,Frank Gore,RB,2,IND,NYJ,15,57,4,0,1,1,4,0,1,1,4.10
48,5701,Fred Jackson,RB,2,SEA,GB,0,0,0,0,2,2,16,1,1,1,5.60
49,14916,Giovani Bernard,RB,2,CIN,SD,20,123,6,0,3,3,16,0,0,0,13.90
50,16127,Isaiah Crowell,RB,2,CLE,TEN,15,72,5,1,0,0,0,0,0,0,13.20
1,16966,Aaron Ripkowski,FB,3,GB,KC,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,3,MIN,SD,20,126,6,2,0,0,0,0,0,0,24.60
3,16189,Alfred Blue,RB,3,HOU,TB,31,139,5,1,0,0,0,0,1,0,19.90
4,14269,Alfred Morris,RB,3,WAS,NYG,6,19,3,0,0,0,0,0,0,0,1.90
5,17234,Alonzo Harris,RB,3,GB,KC,2,17,9,0,0,0,0,0,0,0,1.70
6,16815,Ameer Abdullah,RB,3,DET,DEN,8,23,3,0,5,2,19,1,1,0,10.20
7,16402,Andre Williams,RB,3,NYG,WAS,14,29,2,1,0,0,0,0,0,0,8.90
8,12285,Anthony Dixon,RB,3,BUF,MIA,5,-1,0,0,0,0,0,0,0,0,-0.10
9,13418,Anthony Sherman,FB,3,KC,GB,0,0,0,0,0,0,0,0,0,0,0.00
10,16163,Antonio Andrews,RB,3,TEN,IND,12,49,4,1,2,1,12,0,0,0,12.10
11,15191,Austin Johnson,FB,3,NO,CAR,2,4,2,0,0,0,0,0,0,0,0.40
12,15207,Benjamin Cunningham,RB,3,LA,PIT,1,12,12,0,2,2,18,0,0,0,3.00
13,14687,Bernard Pierce,RB,3,JAX,NE,1,1,1,0,3,2,3,0,0,0,0.40
14,12800,Bilal Powell,RB,3,NYJ,PHI,10,31,3,0,8,7,44,0,0,0,7.50
15,16178,Bishop Sankey,RB,3,TEN,IND,5,10,2,0,2,2,31,0,0,0,4.10
16,13852,Bobby Rainey,RB,3,TB,HOU,0,0,0,0,0,0,0,0,2,0,0.00
17,16345,Branden Oliver,RB,3,SD,MIN,8,26,3,0,1,0,0,0,1,0,2.60
