Rank,ID,Name,Position,Week,Team,Opp,Att,RushYds,RushYds/Att,RushTD,Targets,Rec,PassYds,PassTD,Fum,Lost,FantasyPoints
21,16307,Charcandrick West,RB,6,KC,MIN,9,33,4,0,2,1,6,0,1,1,1.90
22,12239,Chris Ivory,RB,6,NYJ,WAS,20,146,7,1,3,3,50,0,0,0,25.60
23,6828,Chris Johnson,RB,6,ARI,PIT,14,40,3,0,1,1,5,0,0,0,4.50
24,13735,Chris Polk,RB,6,HOU,JAX,8,37,5,0,2,1,2,0,0,0,3.90
25,15102,Chris Thompson,RB,6,WAS,NYJ,5,12,2,0,10,6,26,0,0,0,3.80
26,15020,CJ Anderson,RB,6,DEN,CLE,13,41,3,0,4,4,25,0,0,0,6.60
27,10949,CJ Spiller,RB,6,NO,ATL,3,10,3,0,5,4,17,0,0,0,2.70
28,17197,Corey Grant,RB,6,JAX,HOU,1,1,1,0,0,0,0,0,0,0,0.10
29,16031,Damien Williams,RB,6,MIA,TEN,2,5,3,0,0,0,0,0,1,0,0.50
30,14788,Dan Herron,RB,6,BUF,CIN,0,0,0,0,2,2,17,0,0,0,1.70
31,12317,Danny Woodhead,RB,6,SD,GB,7,8,1,0,7,5,63,0,0,0,7.10
32,11969,Darrel Young,FB,6,WAS,NYJ,0,0,0,0,1,1,8,0,0,0,0.80
33,6198,Darren Sproles,RB,6,PHI,NYG,2,4,2,0,2,1,3,0,0,0,0.70
34,16847,David Johnson,RB,6,ARI,PIT,3,9,3,0,1,1,8,0,1,0,1.70
35,7580,DeAngelo Williams,RB,6,PIT,ARI,1,-1,-1,0,0,0,0,0,0,0,-0.10
36,13124,DeMarco Murray,RB,6,PHI,NYG,21,112,5,1,4,3,14,0,1,0,18.60
37,15018,Denard Robinson,RB,6,JAX,HOU,7,19,3,0,3,3,19,0,0,0,3.80
38,16524,Devonta Freeman,RB,6,ATL,NO,13,100,8,1,10,8,56,1,0,0,27.60
39,11220,Dexter McCluster,RB,6,TEN,MIA,5,23,5,0,4,3,19,1,0,0,10.20
40,12708,Dion Lewis,RB,6,NE,IND,4,21,5,0,6,3,18,0,0,0,3.90
41,8604,Donald Brown,RB,6,SD,GB,0,0,0,0,0,0,0,0,0,0,0.00
42,16144,Dri Archer,RB,6,PIT,ARI,0,0,0,0,0,0,0,0,0,0,0.00
43,16838,Duke Johnson,RB,6,CLE,DEN,9,38,4,0,4,3,18,0,0,0,5.60
44,15138,Eddie Lacy,RB,6,GB,SD,4,3,1,0,2,2,17,0,1,0,2.00
45,15616,Fozzy Whittaker,RB,6,CAR,SEA,1,2,2,0,2,2,21,0,0,0,2.30
46,5820,Frank Gore,RB,6,IND,NE,13,78,6,0,3,2,16,0,0,0,9.40
47,5701,Fred Jackson,RB,6,SEA,CAR,0,0,0,0,2,2,7,0,0,0,0.70
48,14916,Giovani Bernard,RB,6,CIN,BUF,8,50,6,1,2,1,23,0,0,0,13.30
49,16127,Isaiah Crowell,RB,6,CLE,DEN,11,32,3,0,2,2,9,0,0,0,4.10
50,16869,Jalston Fowler,RB,6,TEN,MIA,0,0,0,0,0,0,0,0,0,0,0.00
1,4807,Adrian Peterson,RB,7,MIN,DET,19,98,5,0,3,3,12,0,0,0,11.00
2,2220,Ahmad Bradshaw,RB,7,IND,NO,1,5,5,0,2,1,8,0,0,0,1.30
3,16189,Alfred Blue,RB,7,HOU,MIA,3,8,3,0,0,0,0,0,0,0,0.80
4,14269,Alfred Morris,RB,7,WAS,TB,6,5,1,0,1,1,2,0,0,0,0.70
5,16815,Ameer Abdullah,RB,7,DET,MIN,8,43,5,0,0,0,0,0,0,0,4.30
6,15224,Andre Ellington,RB,7,ARI,BAL,5,21,4,0,4,3,28,0,0,0,4.90
7,16402,Andre Williams,RB,7,NYG,DAL,4,13,3,0,0,0,0,0,0,0,1.30
8,12285,Anthony Dixon,RB,7,BUF,JAX,0,0,0,0,0,0,0,0,0,0,0.00
9,13418,Anthony Sherman,FB,7,KC,PIT,0,0,0,0,0,0,0,0,0,0,0.00
10,16163,Antonio Andrews,RB,7,TEN,ATL,10,57,6,0,0,0,0,0,0,0,5.70
11,11792,Arian Foster,RB,7,HOU,MIA,18,59,3,1,7,5,66,1,0,0,24.50
12,15207,Benjamin Cunningham,RB,7,LA,CLE,4,11,3,0,2,2,13,0,0,0,2.40
13,14687,Bernard Pierce,RB,7,JAX,BUF,0,0,0,0,0,0,0,0,0,0,0.00
14,16178,Bishop Sankey,RB,7,TEN,ATL,0,0,0,0,1,0,0,0,0,0,0.00
15,13852,Bobby Rainey,RB,7,TB,WAS,0,0,0,0,1,1,4,0,0,0,0.40
16,16345,Branden Oliver,RB,7,SD,OAK,9,35,4,0,7,6,39,0,0,0,7.40
17,13446,Bruce Miller,FB,7,SF,SEA,0,0,0,0,0,0,0,0,0,0,0.00
18,16934,Cameron Artis-Payne,RB,7,CAR,PHI,1,0,0,0,0,0,0,0,0,0,0.00
19,16668,Carlos Hyde,RB,7,SF,SEA,11,40,4,0,0,0,0,0,1,0,4.00
20,16307,Charcandrick West,RB,7,KC,PIT,22,110,5,1,5,2,19,0,0,0,18.90
21,16609,Charles Sims,RB,7,TB,WAS,10,49,5,0,3,2,17,0,1,1,4.60
22,15596,Chase Reynolds,RB,7,LA,CLE,0,0,0,0,0,0,0,0,0,0,0.00
23,12239,Chris Ivory,RB,7,NYJ,NE,17,41,2,0,2,2,12,1,0,0,11.30
24,6828,Chris Johnson,RB,7,ARI,BAL,18,122,7,1,0,0,0,0,0,0,18.20
25,13735,Chris Polk,RB,7,HOU,MIA,4,4,1,0,3,2,14,0,0,0,1.80
26,15256,Christine Michael,RB,7,DAL,NYG,5,18,4,0,1,1,2,0,0,0,2.00
27,10949,CJ Spiller,RB,7,NO,IND,4,16,4,0,6,6,32,0,0,0,4.80
28,16031,Damien Williams,RB,7,MIA,HOU,4,19,5,0,2,2,10,0,1,1,0.90
29,14788,Dan Herron,RB,7,BUF,JAX,2,9,5,0,1,1,3,0,0,0,1.20
30,12317,Danny Woodhead,RB,7,SD,OAK,5,26,5,0,12,11,75,2,0,0,22.10
31,11969,Darrel Young,FB,7,WAS,TB,1,1,1,0,0,0,0,0,0,0,0.10
32,8066,Darren McFadden,RB,7,DAL,NYG,29,152,5,1,2,2,10,0,0,0,22.20
33,6198,Darren Sproles,RB,7,PHI,CAR,3,9,3,0,10,5,31,0,0,0,4.00
34,16847,David Johnson,RB,7,ARI,BAL,3,5,2,0,2,2,19,0,0,0,2.40
35,7580,DeAngelo Williams,RB,7,PIT,KC,4,9,2,0,2,1,8,0,0,0,1.70
36,13124,DeMarco Murray,RB,7,PHI,CAR,18,65,4,0,4,2,5,0,0,0,7.00
37,15018,Denard Robinson,RB,7,JAX,BUF,0,0,0,0,0,0,0,0,0,0,0.00
38,16524,Devonta Freeman,RB,7,ATL,TEN,25,116,5,0,3,2,14,0,0,0,13.00
39,11220,Dexter McCluster,RB,7,TEN,ATL,5,20,4,0,8,6,48,0,0,0,6.80
40,8604,Donald Brown,RB,7,SD,OAK,0,0,0,0,0,0,0,0,0,0,0.00
41,14385,Doug Martin,RB,7,TB,WAS,19,136,7,0,3,3,35,0,0,0,17.10
42,16144,Dri Archer,RB,7,PIT,KC,0,0,0,0,0,0,0,0,0,0,0.00
43,16838,Duke Johnson,RB,7,CLE,LA,6,17,3,0,7,7,73,0,0,0,9.00
44,15616,Fozzy Whittaker,RB,7,CAR,PHI,0,0,0,0,1,0,0,0,0,0,0.00
45,5820,Frank Gore,RB,7,IND,NO,9,43,5,0,8,5,32,0,0,0,7.50
46,5701,Fred Jackson,RB,7,SEA,SF,1,2,2,0,4,4,33,0,0,0,3.50
47,15497,George Winn,RB,7,DET,MIN,1,0,0,0,0,0,0,0,0,0,0.00
48,16127,Isaiah Crowell,RB,7,CLE,LA,8,9,1,0,0,0,0,0,0,0,0.90
49,16869,Jalston Fowler,RB,7,TEN,ATL,0,0,0,0,0,0,0,0,0,0,0.00
50,16056,James White,RB,7,NE,NYJ,2,4,2,0,5,3,26,0,0,0,3.00
1,16966,Aaron Ripkowski,FB,8,GB,DEN,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,8,MIN,CHI,20,103,5,0,2,2,6,0,0,0,10.90
3,2220,Ahmad Bradshaw,RB,8,IND,CAR,7,31,4,0,1,0,0,0,0,0,3.10
4,16189,Alfred Blue,RB,8,HOU,TEN,14,39,3,0,5,5,33,0,0,0,7.20
5,17234,Alonzo Harris,RB,8,GB,DEN,2,2,1,0,0,0,0,0,0,0,0.20
6,16815,Ameer Abdullah,RB,8,DET,KC,1,3,3,0,2,0,0,0,0,0,0.30
7,15224,Andre Ellington,RB,8,ARI,CLE,3,0,0,0,1,0,0,0,0,0,0.00
8,16402,Andre Williams,RB,8,NYG,NO,5,7,1,0,0,0,0,0,0,0,0.70
9,13418,Anthony Sherman,FB,8,KC,DET,0,0,0,0,0,0,0,0,0,0,0.00
10,11439,Antone Smith,RB,8,CHI,MIN,0,0,0,0,0,0,0,0,0,0,0.00
11,16163,Antonio Andrews,RB,8,TEN,HOU,16,64,4,0,3,3,18,0,0,0,8.20
12,15191,Austin Johnson,FB,8,NO,NYG,0,0,0,0,0,0,0,0,0,0,0.00
13,15207,Benjamin Cunningham,RB,8,LA,SF,0,0,0,0,0,0,0,0,0,0,0.00
14,16178,Bishop Sankey,RB,8,TEN,HOU,0,0,0,0,0,0,0,0,1,1,-2.00
15,13852,Bobby Rainey,RB,8,TB,ATL,0,0,0,0,0,0,0,0,0,0,0.00
16,16345,Branden Oliver,RB,8,SD,BAL,4,18,5,0,2,2,16,0,0,0,3.40
17,13741,Brandon Bolden,RB,8,NE,MIA,0,0,0,0,0,0,0,0,0,0,0.00
18,13446,Bruce Miller,FB,8,SF,LA,0,0,0,0,1,0,0,0,0,0,0.00
19,11737,Cedric Peerman,RB,8,CIN,PIT,0,0,0,0,0,0,0,0,0,0,0.00
20,16307,Charcandrick West,RB,8,KC,DET,20,97,5,1,6,4,25,0,0,0,18.20
21,16609,Charles Sims,RB,8,TB,ATL,6,22,4,0,4,3,24,0,0,0,4.60
22,15596,Chase Reynolds,RB,8,LA,SF,0,0,0,0,0,0,0,0,0,0,0.00
23,12239,Chris Ivory,RB,8,NYJ,OAK,15,17,1,0,5,3,24,0,0,0,4.10
24,6828,Chris Johnson,RB,8,ARI,CLE,30,109,4,0,1,0,0,0,2,2,6.90
25,13735,Chris Polk,RB,8,HOU,TEN,8,18,2,0,2,1,4,0,0,0,2.20
26,15256,Christine Michael,RB,8,DAL,SEA,5,20,4,0,2,0,0,0,0,0,2.00
27,15020,CJ Anderson,RB,8,DEN,GB,14,101,7,1,1,1,5,0,0,0,16.60
28,10949,CJ Spiller,RB,8,NO,NYG,4,21,5,0,4,2,15,1,0,0,9.60
29,16031,Damien Williams,RB,8,MIA,NE,0,0,0,0,0,0,0,0,0,0,0.00
30,12317,Danny Woodhead,RB,8,SD,BAL,3,9,3,0,3,2,36,0,0,0,4.50
31,8066,Darren McFadden,RB,8,DAL,SEA,20,64,3,0,8,6,49,0,1,0,11.30
32,16847,David Johnson,RB,8,ARI,CLE,1,4,4,0,2,2,44,0,1,0,4.80
33,7580,DeAngelo Williams,RB,8,PIT,CIN,9,71,8,0,4,4,39,0,0,0,11.00
34,15631,Derrick Coleman,FB,8,SEA,DAL,0,0,0,0,0,0,0,0,0,0,0.00
35,16524,Devonta Freeman,RB,8,ATL,TB,21,88,4,0,8,6,43,0,0,0,13.10
36,11220,Dexter McCluster,RB,8,TEN,HOU,3,15,5,0,6,4,23,0,0,0,3.80
37,12708,Dion Lewis,RB,8,NE,MIA,5,19,4,0,9,6,93,1,0,0,17.20
38,14385,Doug Martin,RB,8,TB,ATL,23,71,3,0,1,1,7,0,0,0,7.80
39,16144,Dri Archer,RB,8,PIT,CIN,0,0,0,0,0,0,0,0,0,0,0.00
40,16838,Duke Johnson,RB,8,CLE,ARI,1,3,3,0,2,2,68,0,0,0,7.10
41,15138,Eddie Lacy,RB,8,GB,DEN,11,38,4,1,2,1,9,0,1,0,10.70
42,15616,Fozzy Whittaker,RB,8,CAR,IND,1,3,3,0,1,0,0,0,1,0,0.30
43,5820,Frank Gore,RB,8,IND,CAR,22,70,3,0,3,3,22,0,1,0,9.20
44,5701,Fred Jackson,RB,8,SEA,DAL,0,0,0,0,1,1,9,0,0,0,0.90
45,15497,George Winn,RB,8,DET,KC,0,0,0,0,0,0,0,0,0,0,0.00
46,14916,Giovani Bernard,RB,8,CIN,PIT,1,12,12,0,3,2,22,0,0,0,3.40
47,16127,Isaiah Crowell,RB,8,CLE,ARI,10,14,1,0,2,1,12,0,0,0,2.60
48,16869,Jalston Fowler,RB,8,TEN,HOU,0,0,0,0,0,0,0,0,0,0,0.00
49,12506,James Starks,RB,8,GB,DEN,5,9,2,0,2,2,9,0,0,0,1.80
50,16056,James White,RB,8,NE,MIA,3,3,1,0,0,0,0,0,0,0,0.30
1,16966,Aaron Ripkowski,FB,9,GB,CAR,0,0,0,0,1,1,18,0,0,0,1.80
2,4807,Adrian Peterson,RB,9,MIN,LA,29,125,4,1,2,2,18,0,2,0,20.30
3,2220,Ahmad Bradshaw,RB,9,IND,DEN,6,3,1,0,2,1,8,1,0,0,7.10
4,14269,Alfred Morris,RB,9,WAS,NE,4,10,3,0,0,0,0,0,0,0,1.00
5,17234,Alonzo Harris,RB,9,GB,CAR,0,0,0,0,0,0,0,0,0,0,0.00
6,16402,Andre Williams,RB,9,NYG,TB,7,30,4,0,1,1,7,0,0,0,3.70
7,12285,Anthony Dixon,RB,9,BUF,MIA,0,0,0,0,0,0,0,0,0,0,0.00
8,11439,Antone Smith,RB,9,CHI,SD,1,11,11,0,0,0,0,0,0,0,1.10
9,16163,Antonio Andrews,RB,9,TEN,NO,19,88,5,0,2,1,23,0,0,0,11.10
10,15207,Benjamin Cunningham,RB,9,LA,MIN,0,0,0,0,0,0,0,0,0,0,0.00
11,14687,Bernard Pierce,RB,9,JAX,NYJ,0,0,0,0,0,0,0,0,0,0,0.00
12,13852,Bobby Rainey,RB,9,TB,NYG,1,3,3,0,0,0,0,0,1,0,0.30
13,13741,Brandon Bolden,RB,9,NE,WAS,1,12,12,0,4,3,27,1,0,0,9.90
14,13446,Bruce Miller,FB,9,SF,ATL,2,4,2,0,0,0,0,0,0,0,0.40
15,11737,Cedric Peerman,RB,9,CIN,CLE,0,0,0,0,0,0,0,0,0,0,0.00
16,16609,Charles Sims,RB,9,TB,NYG,8,78,10,0,2,1,4,0,1,1,6.20
17,12239,Chris Ivory,RB,9,NYJ,JAX,23,26,1,2,3,3,22,0,1,0,16.80
18,15102,Chris Thompson,RB,9,WAS,NE,0,0,0,0,4,2,21,0,0,0,2.10
19,15020,CJ Anderson,RB,9,DEN,IND,7,34,5,0,2,1,4,0,0,0,3.80
20,10949,CJ Spiller,RB,9,NO,TEN,2,8,4,0,2,1,2,0,0,0,1.00
21,16031,Damien Williams,RB,9,MIA,BUF,0,0,0,0,0,0,0,0,1,0,0.00
22,12317,Danny Woodhead,RB,9,SD,CHI,6,33,6,0,10,6,78,1,0,0,17.10
23,11969,Darrel Young,FB,9,WAS,NE,0,0,0,0,0,0,0,0,0,0,0.00
24,8066,Darren McFadden,RB,9,DAL,PHI,27,117,4,0,2,1,5,0,0,0,12.20
25,6198,Darren Sproles,RB,9,PHI,DAL,5,23,5,0,3,2,3,0,0,0,2.60
26,7580,DeAngelo Williams,RB,9,PIT,OAK,27,170,6,2,4,2,55,0,0,0,36.50
27,13124,DeMarco Murray,RB,9,PHI,DAL,18,83,5,1,7,6,78,0,0,0,22.10
28,15018,Denard Robinson,RB,9,JAX,NYJ,1,2,2,0,1,0,0,0,0,0,0.20
29,16524,Devonta Freeman,RB,9,ATL,SF,12,12,1,0,10,8,67,1,0,0,13.90
30,11220,Dexter McCluster,RB,9,TEN,NO,8,19,2,0,4,2,28,0,1,1,2.70
31,12708,Dion Lewis,RB,9,NE,WAS,4,14,4,0,5,4,39,0,0,0,5.30
32,8604,Donald Brown,RB,9,SD,CHI,2,13,7,0,0,0,0,0,0,0,1.30
33,14385,Doug Martin,RB,9,TB,NYG,11,31,3,0,4,2,12,0,1,1,2.30
34,16838,Duke Johnson,RB,9,CLE,CIN,3,0,0,0,4,2,38,1,0,0,9.80
35,15138,Eddie Lacy,RB,9,GB,CAR,5,10,2,0,1,0,0,0,1,1,-1.00
36,15616,Fozzy Whittaker,RB,9,CAR,GB,2,13,7,0,0,0,0,0,0,0,1.30
37,5820,Frank Gore,RB,9,IND,DEN,28,83,3,1,3,1,19,0,0,0,16.20
38,14916,Giovani Bernard,RB,9,CIN,CLE,13,72,6,0,1,1,14,0,0,0,8.60
39,16127,Isaiah Crowell,RB,9,CLE,CIN,10,38,4,0,4,3,26,0,0,0,6.40
40,16869,Jalston Fowler,RB,9,TEN,NO,0,0,0,0,0,0,0,0,0,0,0.00
41,12506,James Starks,RB,9,GB,CAR,10,39,4,0,8,6,83,1,0,0,18.20
42,14789,Jamize Olawale,FB,9,OAK,PIT,1,19,19,1,0,0,0,0,0,0,7.90
43,16909,Jay Ajayi,RB,9,MIA,BUF,5,41,8,0,0,0,0,0,0,0,4.10
44,16112,Jeremy Hill,RB,9,CIN,CLE,15,52,4,0,1,1,0,0,0,0,5.20
45,16867,Jeremy Langford,RB,9,CHI,SD,18,72,4,1,4,3,70,0,0,0,22.20
46,16510,Jerick McKinnon,RB,9,MIN,LA,0,0,0,0,2,2,11,0,0,0,1.10
47,733,Jerome Felton,FB,9,BUF,MIA,0,0,0,0,0,0,0,0,0,0,0.00
48,1589,John Kuhn,FB,9,GB,CAR,0,0,0,0,0,0,0,0,0,0,0.00
49,15565,Jonas Gray,RB,9,MIA,BUF,0,0,0,0,0,0,0,0,0,0,0.00
50,5451,Jonathan Stewart,RB,9,CAR,GB,20,66,3,0,2,1,2,0,0,0,6.80
1,16966,Aaron Ripkowski,FB,10,GB,DET,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,10,MIN,OAK,26,203,8,1,3,2,13,0,0,0,27.60
3,16189,Alfred Blue,RB,10,HOU,CIN,12,22,2,0,1,1,9,0,0,0,3.10
4,14269,Alfred Morris,RB,10,WAS,NO,15,92,6,0,3,3,14,0,0,0,10.60
5,17234,Alonzo Harris,RB,10,GB,DET,0,0,0,0,1,0,0,0,0,0,0.00
6,16815,Ameer Abdullah,RB,10,DET,GB,5,15,3,0,1,1,7,0,0,0,2.20
7,15224,Andre Ellington,RB,10,ARI,SEA,5,61,12,1,4,3,27,0,0,0,14.80
8,16402,Andre Williams,RB,10,NYG,NE,2,2,1,0,0,0,0,0,0,0,0.20
9,12285,Anthony Dixon,RB,10,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0.00
10,13418,Anthony Sherman,FB,10,KC,DEN,0,0,0,0,0,0,0,0,0,0,0.00
11,11439,Antone Smith,RB,10,CHI,LA,0,0,0,0,0,0,0,0,0,0,0.00
12,16163,Antonio Andrews,RB,10,TEN,CAR,11,8,1,0,0,0,0,0,0,0,0.80
13,15207,Benjamin Cunningham,RB,10,LA,CHI,0,0,0,0,2,1,2,0,0,0,0.20
14,16178,Bishop Sankey,RB,10,TEN,CAR,2,7,4,0,0,0,0,0,0,0,0.70
15,13852,Bobby Rainey,RB,10,TB,DAL,0,0,0,0,0,0,0,0,1,0,0.00
16,13741,Brandon Bolden,RB,10,NE,NYG,1,-3,-3,0,1,0,0,0,0,0,-0.30
17,13719,Bryce Brown,RB,10,SEA,ARI,0,0,0,0,0,0,0,0,0,0,0.00
18,11737,Cedric Peerman,RB,10,CIN,HOU,0,0,0,0,0,0,0,0,0,0,0.00
19,16307,Charcandrick West,RB,10,KC,DEN,24,69,3,1,5,3,92,1,0,0,28.10
20,16609,Charles Sims,RB,10,TB,DAL,5,18,4,0,5,2,13,0,0,0,3.10
21,15596,Chase Reynolds,RB,10,LA,CHI,0,0,0,0,0,0,0,0,0,0,0.00
22,12239,Chris Ivory,RB,10,NYJ,BUF,18,99,6,0,3,2,36,0,1,1,11.50
23,6828,Chris Johnson,RB,10,ARI,SEA,25,58,2,0,2,0,0,0,0,0,5.80
24,13735,Chris Polk,RB,10,HOU,CIN,4,14,4,0,0,0,0,0,0,0,1.40
25,15102,Chris Thompson,RB,10,WAS,NO,2,54,27,0,1,1,23,0,0,0,7.70
26,15256,Christine Michael,RB,10,DAL,TB,3,8,3,0,0,0,0,0,0,0,0.80
27,15020,CJ Anderson,RB,10,DEN,KC,2,9,5,0,1,0,0,0,0,0,0.90
28,10949,CJ Spiller,RB,10,NO,WAS,8,24,3,0,2,2,10,0,1,0,3.40
29,16031,Damien Williams,RB,10,MIA,PHI,0,0,0,0,1,0,0,0,0,0,0.00
30,14788,Dan Herron,RB,10,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0.00
31,11969,Darrel Young,FB,10,WAS,NO,3,7,2,0,1,1,-1,0,1,0,0.60
32,8066,Darren McFadden,RB,10,DAL,TB,17,32,2,0,4,3,26,0,0,0,5.80
33,6198,Darren Sproles,RB,10,PHI,MIA,3,0,0,0,6,5,34,0,0,0,3.40
34,16847,David Johnson,RB,10,ARI,SEA,0,0,0,0,1,1,8,0,0,0,0.80
35,7580,DeAngelo Williams,RB,10,PIT,CLE,17,54,3,0,2,1,15,0,1,0,6.90
36,13124,DeMarco Murray,RB,10,PHI,MIA,22,61,3,0,8,6,58,0,0,0,11.90
37,15018,Denard Robinson,RB,10,JAX,BAL,1,1,1,0,2,0,0,0,0,0,0.10
38,15631,Derrick Coleman,FB,10,SEA,ARI,0,0,0,0,0,0,0,0,0,0,0.00
39,11220,Dexter McCluster,RB,10,TEN,CAR,3,25,8,1,5,4,27,0,1,1,9.20
40,14385,Doug Martin,RB,10,TB,DAL,18,63,4,0,4,4,40,0,0,0,10.30
41,16838,Duke Johnson,RB,10,CLE,PIT,4,10,3,0,4,4,18,0,0,0,2.80
42,15616,Fozzy Whittaker,RB,10,CAR,TEN,0,0,0,0,0,0,0,0,0,0,0.00
43,5701,Fred Jackson,RB,10,SEA,ARI,0,0,0,0,0,0,0,0,0,0,0.00
44,15497,George Winn,RB,10,DET,GB,0,0,0,0,0,0,0,0,0,0,0.00
45,14916,Giovani Bernard,RB,10,CIN,HOU,8,36,5,0,8,5,43,0,0,0,7.90
46,16740,Glenn Winston,RB,10,CLE,PIT,0,0,0,0,0,0,0,0,0,0,0.00
47,16127,Isaiah Crowell,RB,10,CLE,PIT,6,-5,-1,0,2,1,4,0,0,0,-0.10
48,16869,Jalston Fowler,RB,10,TEN,CAR,0,0,0,0,1,1,14,0,0,0,1.40
49,12506,James Starks,RB,10,GB,DET,15,42,3,0,7,6,54,0,1,0,9.60
50,16056,James White,RB,10,NE,NYG,1,5,5,0,1,1,6,0,0,0,1.10
1,16966,Aaron Ripkowski,FB,11,GB,MIN,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,11,MIN,GB,13,45,4,1,2,2,16,0,1,1,10.10
3,2220,Ahmad Bradshaw,RB,11,IND,ATL,9,32,4,0,4,4,20,2,0,0,17.20
4,17199,Akeem Hunt,RB,11,HOU,NYJ,2,4,2,0,1,0,0,0,0,0,0.40
5,16189,Alfred Blue,RB,11,HOU,NYJ,21,58,3,0,3,3,34,1,0,0,15.20
6,14269,Alfred Morris,RB,11,WAS,CAR,2,0,0,0,0,0,0,0,0,0,0.00
7,16815,Ameer Abdullah,RB,11,DET,OAK,12,44,4,0,2,1,2,0,0,0,4.60
8,15224,Andre Ellington,RB,11,ARI,CIN,2,2,1,0,2,1,5,0,0,0,0.70
9,12285,Anthony Dixon,RB,11,BUF,NE,0,0,0,0,0,0,0,0,0,0,0.00
10,13418,Anthony Sherman,FB,11,KC,SD,0,0,0,0,0,0,0,0,0,0,0.00
11,11439,Antone Smith,RB,11,CHI,DEN,0,0,0,0,0,0,0,0,0,0,0.00
12,16163,Antonio Andrews,RB,11,TEN,JAX,15,78,5,0,2,2,16,0,0,0,9.40
13,15207,Benjamin Cunningham,RB,11,LA,BAL,1,0,0,0,2,1,20,0,0,0,2.00
14,12800,Bilal Powell,RB,11,NYJ,HOU,4,22,6,0,7,5,67,0,0,0,8.90
15,13852,Bobby Rainey,RB,11,TB,PHI,1,5,5,0,0,0,0,0,1,0,0.50
16,13741,Brandon Bolden,RB,11,NE,BUF,4,15,4,0,1,0,0,0,0,0,1.50
17,13446,Bruce Miller,FB,11,SF,SEA,0,0,0,0,0,0,0,0,0,0,0.00
18,11737,Cedric Peerman,RB,11,CIN,ARI,0,0,0,0,0,0,0,0,0,0,0.00
19,16307,Charcandrick West,RB,11,KC,SD,11,16,2,0,2,2,48,0,0,0,6.40
20,16609,Charles Sims,RB,11,TB,PHI,10,43,4,0,4,3,26,1,0,0,12.90
21,15596,Chase Reynolds,RB,11,LA,BAL,0,0,0,0,0,0,0,0,0,0,0.00
22,12239,Chris Ivory,RB,11,NYJ,HOU,8,36,5,0,1,1,9,0,1,0,4.50
23,6828,Chris Johnson,RB,11,ARI,CIN,18,63,4,0,2,1,2,0,0,0,6.50
24,15102,Chris Thompson,RB,11,WAS,CAR,4,10,3,0,4,3,7,0,1,0,1.70
25,15020,CJ Anderson,RB,11,DEN,CHI,12,59,5,0,2,2,13,0,0,0,7.20
26,16031,Damien Williams,RB,11,MIA,DAL,0,0,0,0,0,0,0,0,0,0,0.00
27,12317,Danny Woodhead,RB,11,SD,KC,6,7,1,0,2,1,9,0,0,0,1.60
28,11969,Darrel Young,FB,11,WAS,CAR,0,0,0,0,0,0,0,0,0,0,0.00
29,8066,Darren McFadden,RB,11,DAL,MIA,29,129,4,0,3,3,20,0,0,0,14.90
30,6198,Darren Sproles,RB,11,PHI,TB,6,21,4,0,7,3,38,1,0,0,11.90
31,16898,David Cobb,RB,11,TEN,JAX,4,-3,-1,0,0,0,0,0,0,0,-0.30
32,16847,David Johnson,RB,11,ARI,CIN,2,9,5,0,2,2,17,1,1,0,8.60
33,13124,DeMarco Murray,RB,11,PHI,TB,13,64,5,0,5,4,27,0,1,1,7.10
34,15018,Denard Robinson,RB,11,JAX,TEN,7,27,4,0,0,0,0,0,0,0,2.70
35,15631,Derrick Coleman,FB,11,SEA,SF,0,0,0,0,0,0,0,0,0,0,0.00
36,16524,Devonta Freeman,RB,11,ATL,IND,3,43,14,0,0,0,0,0,0,0,4.30
37,11220,Dexter McCluster,RB,11,TEN,JAX,2,0,0,0,2,2,18,0,0,0,1.80
38,8604,Donald Brown,RB,11,SD,KC,0,0,0,0,0,0,0,0,0,0,0.00
39,14385,Doug Martin,RB,11,TB,PHI,27,235,9,0,1,0,0,0,0,0,23.50
40,15138,Eddie Lacy,RB,11,GB,MIN,22,100,5,0,2,1,6,0,0,0,10.60
41,15616,Fozzy Whittaker,RB,11,CAR,WAS,2,6,3,0,1,1,2,0,0,0,0.80
42,5820,Frank Gore,RB,11,IND,ATL,14,34,2,0,5,5,46,0,1,1,6.00
43,5701,Fred Jackson,RB,11,SEA,SF,4,11,3,0,2,2,11,0,0,0,2.20
44,15497,George Winn,RB,11,DET,OAK,0,0,0,0,0,0,0,0,0,0,0.00
45,14916,Giovani Bernard,RB,11,CIN,ARI,6,18,3,0,10,8,128,0,1,0,14.60
46,16869,Jalston Fowler,RB,11,TEN,JAX,0,0,0,0,1,1,2,0,0,0,0.20
47,12506,James Starks,RB,11,GB,MIN,8,14,2,0,1,1,30,0,0,0,4.40
48,16056,James White,RB,11,NE,BUF,2,14,7,1,3,2,32,1,0,0,16.60
49,14789,Jamize Olawale,FB,11,OAK,DET,4,12,3,0,1,1,15,0,0,0,2.70
