"","avgAttempts","avgYards","avgTDs","avgPoints","lastRushAtt","lastRushYds","lastRushTD","lastTargets","lastPassYds","lastPassTD","lastFantasyPoints","performanceClass"
"163",2.33333333333333,2.66666666666667,0,0.266666666666667,0,0,0,0,0,0,0,0
"164",12,47,0,4.7,0,0,0,1,12,0,1.2,0
"165",0.333333333333333,2.66666666666667,0,0.266666666666667,0,0,0,0,0,0,0,0
"166",3.33333333333333,9.33333333333333,0,0.933333333333333,0,0,0,0,0,0,0,0
"167",0.666666666666667,2.33333333333333,0,0.233333333333333,0,0,0,0,0,0,0,0
"168",3.66666666666667,10.3333333333333,0,1.03333333333333,8,25,0,0,0,0,2.5,0
"169",14,48,0,4.8,8,20,0,1,2,0,2.2,0
"170",0,0,0,0,0,0,0,0,0,0,0,0
"171",3,7,0,0.7,5,17,0,3,4,0,2.1,0
"172",10,52.3333333333333,0.666666666666667,9.23333333333333,6,23,0,5,30,1,11.3,2
"173",15.6666666666667,75.3333333333333,0.333333333333333,9.53333333333333,29,166,1,2,0,0,22.6,4
"174",21.3333333333333,105.333333333333,0.666666666666667,14.5333333333333,16,83,0,3,11,0,9.4,1
"175",11.3333333333333,34,0.333333333333333,5.4,3,27,1,4,23,0,11,2
"176",7.66666666666667,57.6666666666667,0.333333333333333,7.76666666666667,6,53,0,3,24,0,7.7,1
"177",0.333333333333333,-0.333333333333333,0,-0.0333333333333333,1,-1,0,0,0,0,-0.1,0
"178",0.333333333333333,-2,0,-0.2,0,0,0,1,-6,0,-0.6,0
"179",11.3333333333333,42,0,4.2,11,43,0,1,27,0,7,1
"180",4.66666666666667,53.6666666666667,0.333333333333333,7.36666666666667,2,10,0,5,99,1,16.9,3
"181",1.66666666666667,5,0,0.5,0,0,0,0,0,0,0,0
"182",4,14.3333333333333,0.333333333333333,3.43333333333333,0,0,0,1,1,0,0.1,0
"183",11.3333333333333,95,0,9.5,8,54,0,4,84,0,13.8,2
"184",0.666666666666667,0.666666666666667,0,0.0666666666666667,1,0,0,0,0,0,0,0
"185",9.33333333333333,39.3333333333333,0.333333333333333,5.93333333333333,10,31,0,0,0,0,3.1,0
